"","id","urls","datum","vykon"
"1","110100018","./detail.php?lic-id=110100018&sequence=1,2&total=2",2001-06-25,0.005
"2","110100072","./detail.php?lic-id=110100072&sequence=1,2&total=2",2001-08-01,0.03
"3","110100176","./detail.php?lic-id=110100176&sequence=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27&total=27",2002-01-01,0.196
"4","110100208","./detail.php?lic-id=110100208&sequence=1,2,3&total=3",2001-09-21,0.033
"5","110100224","./detail.php?lic-id=110100224&sequence=1,2,3,4,5&total=5",2002-01-01,0.012
"6","110100230","./detail.php?lic-id=110100230&sequence=1,2,5,6,7,9,10,11,12,13,14,15,16,17,18,19&total=16",2001-10-01,0.03
"7","110100264","./detail.php?lic-id=110100264&sequence=1,2&total=2",2002-01-01,0.03
"8","110100325","./detail.php?lic-id=110100325&sequence=1,2,3,4&total=4",2001-10-15,1.06
"9","110100339","./detail.php?lic-id=110100339&sequence=1,2,3,4,5,8,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36&total=32",2002-01-01,125.152
"10","110100340","./detail.php?lic-id=110100340&sequence=1,2,3&total=3",2001-11-01,0.01
"11","110100411","./detail.php?lic-id=110100411&sequence=1,2,4,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21&total=18",2001-11-15,0.061
"12","110100479","./detail.php?lic-id=110100479&sequence=1,3,4&total=3",2002-01-01,0.03
"13","110100482","./detail.php?lic-id=110100482&sequence=1,2,3,4&total=4",2002-01-01,0.021
"14","110100536","./detail.php?lic-id=110100536&sequence=1,2,3,4&total=4",2002-01-01,0.018
"15","110100544","./detail.php?lic-id=110100544&sequence=1,2,3&total=3",2002-01-01,0.022
"16","110100582","./detail.php?lic-id=110100582&sequence=3&total=1",2002-01-01,0.068
"17","110100629","./detail.php?lic-id=110100629&sequence=1,2&total=2",2002-01-01,0.062
"18","110100769","./detail.php?lic-id=110100769&sequence=1,2,3&total=3",2001-11-15,0.017
"19","110100779","./detail.php?lic-id=110100779&sequence=1,2&total=2",2002-01-01,0.003
"20","110100791","./detail.php?lic-id=110100791&sequence=1,2&total=2",2002-01-01,0.003
"21","110100811","./detail.php?lic-id=110100811&sequence=9,10,17,18,19,20,21,22,23,24&total=10",2002-01-01,0.421
"22","110100823","./detail.php?lic-id=110100823&sequence=1,3&total=2",2002-01-01,0.005
"23","110100869","./detail.php?lic-id=110100869&sequence=1,2&total=2",2002-01-01,0.045
"24","110100913","./detail.php?lic-id=110100913&sequence=1,2,3&total=3",2002-01-01,0.011
"25","110100960","./detail.php?lic-id=110100960&sequence=1,2&total=2",2002-01-01,0.03
"26","110101010","./detail.php?lic-id=110101010&sequence=2&total=1",2002-01-01,1.336
"27","110101027","./detail.php?lic-id=110101027&sequence=1,2&total=2",2002-01-01,0.039
"28","110101063","./detail.php?lic-id=110101063&sequence=1,2&total=2",2002-01-01,0.018
"29","110101136","./detail.php?lic-id=110101136&sequence=1,2&total=2",2002-01-01,0.005
"30","110101235","./detail.php?lic-id=110101235&sequence=1,2&total=2",2002-01-01,0.003
"31","110101262","./detail.php?lic-id=110101262&sequence=1,2,3&total=3",2002-01-01,0.03
"32","110101358","./detail.php?lic-id=110101358&sequence=1,2&total=2",2002-01-14,0.009
"33","110101366","./detail.php?lic-id=110101366&sequence=1,2,3,4&total=4",2002-01-11,0.006
"34","110101385","./detail.php?lic-id=110101385&sequence=2&total=1",2002-01-01,0.022
"35","110101390","./detail.php?lic-id=110101390&sequence=1,2&total=2",2002-01-17,0.009
"36","110101409","./detail.php?lic-id=110101409&sequence=1,2&total=2",2002-01-01,0.019
"37","110101430","./detail.php?lic-id=110101430&sequence=1,2,3,4&total=4",2002-01-01,0.032
"38","110101483","./detail.php?lic-id=110101483&sequence=1,2,3,4&total=4",2002-01-01,0.019
"39","110101488","./detail.php?lic-id=110101488&sequence=1,2&total=2",2002-01-09,0.005
"40","110101500","./detail.php?lic-id=110101500&sequence=1,2&total=2",2002-01-01,0.03
"41","110101534","./detail.php?lic-id=110101534&sequence=5,6,7,8&total=4",2002-01-01,0.074
"42","110101621","./detail.php?lic-id=110101621&sequence=1,2&total=2",2002-01-01,0.01
"43","110101652","./detail.php?lic-id=110101652&sequence=2&total=1",2002-01-01,0.021
"44","110101695","./detail.php?lic-id=110101695&sequence=1,2&total=2",2002-01-01,0.008
"45","110101766","./detail.php?lic-id=110101766&sequence=2&total=1",2002-01-01,0.03
"46","110101769","./detail.php?lic-id=110101769&sequence=1,2,3,4&total=4",2002-02-01,0.032
"47","110101774","./detail.php?lic-id=110101774&sequence=1,2&total=2",2002-01-01,0.055
"48","110101788","./detail.php?lic-id=110101788&sequence=3&total=1",2002-01-01,0.009
"49","110101834","./detail.php?lic-id=110101834&sequence=2,3&total=2",2002-02-01,0.01
"50","110101843","./detail.php?lic-id=110101843&sequence=1,2&total=2",2002-01-25,0.015
"51","110101896","./detail.php?lic-id=110101896&sequence=2&total=1",2002-01-01,0.005
"52","110101907","./detail.php?lic-id=110101907&sequence=1,2&total=2",2002-02-14,0.005
"53","110101908","./detail.php?lic-id=110101908&sequence=4,6&total=2",2002-01-21,0.004
"54","110102037","./detail.php?lic-id=110102037&sequence=1,2,3,4,7,8,9&total=7",2002-01-01,0.029
