longtitude,latitude,nazev,vykon,datum,datum2
15.8951271993095,49.2247672643071,"CO sklad 674 01 Třebíč, Rafaelova 989, okres Třebíč, kraj Vysočina",0.023,2002-01-01,2019-11-30
15.8981542278763,49.2094926928656,"FVE - Jitona 674 01 Třebíč, Průmyslová, okres Třebíč, kraj Vysočina",0.245,2002-01-01,2019-11-30
15.8907902595442,49.2190690335114,"FVE - ATOM 674 01 Třebíč, Velkomeziříčská 640, okres Třebíč, kraj Vysočina",0.03,2002-01-01,2019-11-30
15.8716147943368,49.2150983106958,"FVE - V.Nezvala 674 01 Třebíč, V. Nezvala, okres Třebíč, kraj Vysočina",0.03,2002-01-01,2019-11-30
15.814801184501,49.9329043997447,"FVE Janderov 537 01 Chrudim, Presy 189, okres Chrudim, kraj Pardubický",0.011,2002-01-01,2019-11-30
16.6327959866859,50.038326801318,"FVE Jamné nad Orlicí 561 65 Jamné nad Orlicí, Jamné nad Orlicí 97, okres Ústí nad Orlicí, kraj Pardubický",0.03,2002-01-01,2019-11-30
17.6627184313468,49.3958541915028,"Fotovoltaická elektrárna Bystřice pod Hostýnem 768 61 Bystřice pod Hostýnem, Holešovká, okres Kroměříž, kraj Zlínský",1.336,2002-01-01,2019-11-30
16.0191426116974,49.0842044116526,"Fotovoltaická elektrárna 675 55 Bačice, Bačice 5, okres Třebíč, kraj Vysočina",0.039,2002-01-01,2019-11-30
13.9412242378794,49.0210807654226,"FVE Zábrdí 384 21 Zábrdí, Zábrdí 31, okres Prachatice, kraj Jihočeský",0.018,2002-01-01,2019-11-30
13.4372515571742,49.2193645655244,"Josef Koudelka 342 01 Petrovice u Sušice, Petrovice u Sušice 1, okres Klatovy, kraj Plzeňský",0.005,2002-01-01,2019-11-30
13.3784608016664,49.7681228034926,"Vlasta Matyášová 323 00 Plzeň, Janáčkova 310/14, okres Plzeň-město, kraj Plzeňský",0.003,2002-01-01,2019-11-30
14.7269360181399,49.2562673447182,"FVE - FERT a.s. 392 01 Soběslav, Petra Bezruče 447/14, okres Tábor, kraj Jihočeský",0.03,2002-01-01,2019-11-30
14.3077627350647,48.7966673416394,"U Vlaštovičníku 145 381 01 Český Krumlov, U Vlaštovičníku 145, okres Český Krumlov, kraj Jihočeský",0.009,2002-01-14,2019-11-30
15.1674774364799,49.1920023377573,"Česká Olešná 378 53 Strmilov, Strmilov 107, okres Jindřichův Hradec, kraj Jihočeský",0.006,2002-01-11,2019-11-30
15.8808453566775,49.1478364838962,"FVE Malena 674 01 Výčapy, Výčapy 81, okres Třebíč, kraj Vysočina",0.022,2002-01-01,2019-11-30
15.342896031876,49.3525630406877,"FVE Těšenov 394 03 Horní Cerekev, Těšenov 28, okres Pelhřimov, kraj Vysočina",0.009,2002-01-17,2019-11-30
13.3989188669565,49.6754388493109,"FVE hala statek 332 09 Štěnovice, Ve Statku 141, okres Plzeň-jih, kraj Plzeňský",0.019,2002-01-01,2019-11-30
13.3071330477611,49.5249937035141,"Borovy 19 334 01 Borovy, Borovy 19, okres Klatovy, kraj Plzeňský",0.018,2002-01-01,2019-11-30
13.3163730332395,49.5328341987883,"FVE Nezdice 334 01 Nezdice, Nezdice 67, okres Klatovy, kraj Plzeňský",0.014,2002-01-01,2019-11-30
17.033139292026,49.6995098088393,"Sobačov 85 783 21 Mladeč, Mladeč 85, okres Olomouc, kraj Olomoucký",0.015,2002-01-01,2019-11-30
14.3394027825486,50.7508046232844,"Slunce 268 405 02 Dolní Habartice, Dolní Habartice 268, okres Děčín, kraj Ústecký",0.005,2002-01-09,2019-11-30
14.209897551133,49.9198000860408,"FVE U Mlýna 267 29 Zadní Třebaň, U Mlýna 8, 202, 203, okres Beroun, kraj Středočeský",0.03,2002-01-01,2019-11-30
14.1237985680229,50.5269561928675,"FVE MLÉKOJEDY 1 412 01 Mlékojedy, Mlékojedy 87, okres Litoměřice, kraj Ústecký",0.02,2002-01-01,2019-11-30
14.1238078903139,50.5266378765228,"FVE MLÉKOJEDY 2 412 01 Mlékojedy, Mlékojedy, okres Litoměřice, kraj Ústecký",0.017,2002-01-01,2019-11-30
14.1239758140646,50.5264019760913,"FVE MLÉKOJEDY 3 412 01 Mlékojedy, Mlékojedy, okres Litoměřice, kraj Ústecký",0.018,2002-01-01,2019-11-30
14.1226942524789,50.5263745409557,"FVE MLÉKOJEDY 4 412 01 Mlékojedy, Mlékojedy, okres Litoměřice, kraj Ústecký",0.02,2002-01-01,2019-11-30
13.3962635494134,49.6469858525607,"FVE MLÝN ČIŽICE 332 09 Čižice, Čižice 34, okres Plzeň-jih, kraj Plzeňský",0.01,2002-01-01,2019-11-30
16.0585184936102,49.1091710969928,"S2013-10 675 55 Hrotovice, Hladov 602, okres Třebíč, kraj Vysočina",0.021,2002-01-01,2019-11-30
15.2210004892555,50.7864876781539,"FVS - Ševčík 468 44 Josefův Důl, Josefův Důl 359, okres Jablonec nad Nisou, kraj Liberecký",0.008,2002-01-01,2019-11-30
16.3415096787201,50.5843980617404,"FVE - Karel Franc LUTOMA 550 01 Broumov, třída Osvobození 43, okres Náchod, kraj Královéhradecký",0.03,2002-01-01,2019-11-30
16.309602198607,50.5410160899445,"FVE Martínkovice 230 549 73 Martínkovice, Martínkovice, okres Náchod, kraj Královéhradecký",0.023,2002-02-01,2019-11-30
16.3581633410061,50.5651479059959,"FVE Kladská 2 - Broumov 550 01 Broumov, Kladská 2, okres Náchod, kraj Královéhradecký",0.009,2002-02-01,2019-11-30
14.6579807695172,49.8578643225079,"FVE Nespeky 257 22 Nespeky, K Elektrárně, U Jezu, okres Benešov, kraj Středočeský",0.055,2002-01-01,2019-11-30
15.5662491758976,50.6091758137877,"FVE VRATISLAV HROMÁDKO 512 36 Horní Branná, Horní Branná 338, okres Semily, kraj Liberecký",0.009,2002-01-01,2019-11-30
12.8769730278631,50.2371839432881,"FVE Bohatice 360 04 Karlovy Vary, Sluneční 361/22, okres Karlovy Vary, kraj Karlovarský",0.01,2002-02-01,2019-11-30
16.0237590446722,50.2114411106328,"FVE Polánky 503 46 Třebechovice pod Orebem, Třebechovice pod Orebem 60, okres Hradec Králové, kraj Královéhradecký",0.015,2002-01-25,2019-11-30
13.6144005836462,50.5931346721503,"Bytový dům 436 01 Litvínov, Nádražní 591, okres Most, kraj Ústecký",0.005,2002-01-01,2019-11-30
14.3273526009047,50.9901597937911,"Vilémov 301 407 80 Vilémov, Vilémov 301, okres Děčín, kraj Ústecký",0.005,2002-02-14,2019-11-30
15.3196395407264,50.7142875509712,"FV Mezivodí Velké Hamry 468 45 Velké Hamry, Velké Hamry, okres Jablonec nad Nisou, kraj Liberecký",0.029,2002-01-01,2019-11-30
14.8885029544437,48.9504728098738,"FVE - Vlastislav Lexa 378 04 Hamr, Hamr 147, okres Jindřichův Hradec, kraj Jihočeský",0.018,2002-01-18,2019-11-30
14.9414195201636,49.0079783687939,"FVE - Vlastislav Lexa , Mirochov 378 04 Chlum u Třeboně, Chlum u Třeboně, okres Jindřichův Hradec, kraj Jihočeský",0.029,2002-01-18,2019-11-30
15.2137572337322,49.4348835037894,"FVE Jaroslav Samek 393 01 Pelhřimov, Dolnokubínská 1451, okres Pelhřimov, kraj Vysočina",0.129,2002-02-01,2019-11-30
17.0898341302042,49.8125514823733,"Fotovoltaická elektrárna 4,2 kW 783 83 Troubelice, Troubelice, okres Olomouc, kraj Olomoucký",0.004,2002-02-08,2019-11-30
15.3888799733475,49.6246528355151,"FVE na objektu č.p. 330 582 33 Dolní Město, Dolní Město 330, okres Havlíčkův Brod, kraj Vysočina",0.03,2002-02-08,2019-11-30
14.9254119613036,50.4855823277788,"FTV - Rechcígl 294 01 Bakov nad Jizerou, Bakov nad Jizerou 186, okres Mladá Boleslav, kraj Středočeský",0.005,2002-02-08,2019-11-30
15.0521980011704,49.2139265745682,"Jarošov nad Nežárkou - Lovětín p.č.st.83 378 42 Jarošov nad Nežárkou, Jarošov nad Nežárkou, okres Jindřichův Hradec, kraj Jihočeský",0.021,2002-05-21,2019-11-30
15.0518996567002,49.211221860514,"FVE Kolář 378 42 Jarošov nad Nežárkou, Jarošov nad Nežárkou 10, okres Jindřichův Hradec, kraj Jihočeský",0.005,2002-05-21,2019-11-30
14.0687513057888,50.6518204786072,"Fotovoltaická elektrárna 400 03 Ústí nad Labem, Do Kopečka 159/3, okres Ústí nad Labem, kraj Ústecký",0.003,2002-04-29,2019-11-30
14.6932454396018,49.1870999115683,"Fotovoltaický systém 3,36 kWp 391 81 Veselí nad Lužnicí, Blatská 101, okres Tábor, kraj Jihočeský",0.003,2002-03-04,2019-11-30
16.1455635128129,49.6832207894909,"FVE Krásné 592 03 Krásné, Krásné, okres Žďár nad Sázavou, kraj Vysočina",0.014,2002-04-05,2019-11-30
15.6094671683608,49.4401226127575,"FVE JI Pávov Lukáš 586 01 Jihlava, Jihlava 122, okres Jihlava, kraj Vysočina",0.03,2002-05-24,2019-11-30
16.0212004932403,50.3980102828463,"FVE 455,4kWp - Dolany 552 03 Česká Skalice, Česká Skalice, okres Náchod, kraj Královéhradecký",0.455,2002-03-14,2019-11-30
14.4665611125952,50.021506330357,"FVE Velké Kunratické 148 00 Praha, Velké Kunratické 1305/20, kraj Hlavní město Praha",0.005,2002-03-26,2019-11-30
